genus,family
Aaptosyax,Cyprinidae
Abactochromis,Cichlidae
Abalistes,Balistidae
Abbottina,Cyprinidae
Ablabys,Tetrarogidae
Ablennes,Belonidae
Aboma,Gobiidae
Aborichthys,Nemacheilidae
Abramis,Cyprinidae
Abramites,Anostomidae
Abudefduf,Pomacentridae
Abyssoberyx,Stephanoberycidae
Abyssobrotula,Ophidiidae
Abyssocottus,Abyssocottidae
Acanthalburnus,Cyprinidae
Acanthaluteres,Monacanthidae
Acanthanectes,Tripterygiidae
Acanthaphritis,Percophidae
Acantharchus,Centrarchidae
Acanthemblemaria,Chaenopsidae
Acanthicus,Loricariidae
Acanthistius,Serranidae
Acanthobrama,Cyprinidae
Acanthobunocephalus,Aspredinidae
Acanthocepola,Cepolidae
Acanthochaenus,Stephanoberycidae
Acanthocharax,Characidae
Acanthochromis,Pomacentridae
Acanthocleithron,Mochokidae
Acanthoclinus,Plesiopidae
Acanthocobitis,Nemacheilidae
Acanthocybium,Scombridae
Acanthodoras,Doradidae
Acanthodraco,Bathydraconidae
Acanthogobio,Cyprinidae
Acanthogobius,Gobiidae
Acantholabrus,Labridae
Acantholiparis,Liparidae
Acantholumpenus,Stichaeidae
Acanthonus,Ophidiidae
Acanthopagrus,Sparidae
Acanthoplesiops,Plesiopidae
Acanthopoma,Trichomycteridae
Acanthopsetta,Pleuronectidae
Acanthopsoides,Cobitidae
Acanthorhodeus,Cyprinidae
Acanthosphex,Aploactinidae
Acanthostracion,Ostraciidae
Acanthurus,Acanthuridae
Acantopsis,Cobitidae
Acapoeta,Cyprinidae
Acarichthys,Cichlidae
Acarobythites,Bythitidae
Acaronia,Cichlidae
Acentrogobius,Gobiidae
Acentronichthys,Heptapteridae
Acentronura,Syngnathidae
Acentrophryne,Linophrynidae
Acestridium,Loricariidae
Acestrocephalus,Characidae
Acestrorhynchus,Acestrorhynchidae
Acheilognathus,Cyprinidae
Achiroides,Soleidae
Achiropsetta,Achiropsettidae
Achirus,Achiridae
Achoerodus,Labridae
Achondrostoma,Cyprinidae
Acinocheirodon,Characidae
Acipenser,Acipenseridae
Acnodon,Serrasalmidae
Acreichthys,Monacanthidae
Acrobrycon,Characidae
Acrocheilus,Cyprinidae
Acrochordonichthys,Akysidae
Acromycter,Congridae
Acropoma,Acropomatidae
Acrossocheilus,Cyprinidae
Acyrtops,Gobiesocidae
Acyrtus,Gobiesocidae
Adelosebastes,Sebastidae
Adinia,Fundulidae
Adontosternarchus,Apteronotidae
Adrianichthys,Adrianichthyidae
Adventor,Aploactinidae
Aeoliscus,Centriscidae
Aequidens,Cichlidae
Aesopia,Soleidae
Aetapcus,Pataecidae
Aethaloperca,Serranidae
Aetheliparis,Liparidae
Aethotaxis,Nototheniidae
Afronandus,Nandidae
Afronemacheilus,Nemacheilidae
Afurcagobius,Gobiidae
Agamyxis,Doradidae
Ageneiosus,Auchenipteridae
Agoniates,Triportheidae
Agonomalus,Agonidae
Agonopsis,Agonidae
Agonostomus,Mugilidae
Agonus,Agonidae
Agosia,Cyprinidae
Agrostichthys,Regalecidae
Aguarunichthys,Pimelodidae
Ahlia,Ophichthidae
Ahliesaurus,Notosudidae
Aiakas,Zoarcidae
Aidablennius,Blenniidae
Ailia,Schilbeidae
Ailiichthys,Schilbeidae
Aioliops,Microdesmidae
Akarotaxis,Bathydraconidae
Akihito,Gobiidae
Akko,Gobiidae
Akrokolioplax,Cyprinidae
Akysis,Akysidae
Alabes,Gobiesocidae
Albatrossia,Macrouridae
Albula,Albulidae
Albulichthys,Cyprinidae
Alburnoides,Cyprinidae
Alburnus,Cyprinidae
Alcichthys,Cottidae
Alcockia,Ophidiidae
Alcolapia,Cichlidae
Aldrichetta,Mugilidae
Aldrovandia,Halosauridae
Alectis,Carangidae
Alectrias,Stichaeidae
Alectridium,Stichaeidae
Alepes,Carangidae
Alepidomus,Atherinidae
Alepisaurus,Alepisauridae
Alepocephalus,Alepocephalidae
Alertichthys,Congiopodidae
Alestes,Alestidae
Alestopetersius,Alestidae
Alfaro,Poeciliidae
Algansea,Cyprinidae
Alionematichthys,Bythitidae
Allenbatrachus,Batrachoididae
Allenichthys,Antennariidae
Allips,Ophichthidae
Alloblennius,Blenniidae
Allocareproctus,Liparidae
Alloclinus,Labrisomidae
Allocyttus,Oreosomatidae
Allodontichthys,Goodeidae
Allomicrodesmus,Xenisthmidae
Allomogurnda,Eleotridae
Allomycterus,Diodontidae
Alloophorus,Goodeidae
Allosmerus,Osmeridae
Allothunnus,Scombridae
Allotoca,Goodeidae
Alosa,Clupeidae
Alphestes,Serranidae
Alticorpus,Cichlidae
Alticus,Blenniidae
Altolamprologus,Cichlidae
Altrichthys,Pomacentridae
Aluterus,Monacanthidae
Amanses,Monacanthidae
Amaralia,Aspredinidae
Amarginops,Claroteidae
Amarsipus,Amarsipidae
Amatitlania,Cichlidae
Amazonspinther,Characidae
Amazonsprattus,Engraulidae
Ambassis,Ambassidae
Ambastaia,Cobitidae
Ambiserrula,Platycephalidae
Ambloplites,Centrarchidae
Amblyceps,Amblycipitidae
Amblychaeturichthys,Gobiidae
Amblycirrhitus,Cirrhitidae
Amblydoras,Doradidae
Amblyeleotris,Gobiidae
Amblygaster,Clupeidae
Amblyglyphidodon,Pomacentridae
Amblygobius,Gobiidae
Amblyopsis,Amblyopsidae
Amblyotrypauchen,Gobiidae
Amblypharyngodon,Cyprinidae
Amblypomacentrus,Pomacentridae
Amblyrhynchichthys,Cyprinidae
Amblyrhynchotes,Tetraodontidae
Ambophthalmos,Psychrolutidae
Ameca,Goodeidae
Ameiurus,Ictaluridae
Amia,Amiidae
