species,genus,family,species.relative,genus.relative
Alosa chrysochloris,Alosa,Clupeidae,,
Ictiobus bubalus,Ictiobus,Catostomidae,,
Morone mississippiensis,Morone,Moronidae,,
Acantharchus pomotis,Acantharchus,Centrarchidae,,
Acipenser fulvescens,Acipenser,Acipenseridae,,
Acrocheilus alutaceus,Acrocheilus,Cyprinidae,,
Agosia chrysogaster,Agosia,Cyprinidae,,
Alosa aestivalis,Alosa,Clupeidae,,
Ambloplites ariommus,Ambloplites,Centrarchidae,,
Ambloplites cavifrons,Ambloplites,Centrarchidae,,
Ambloplites constellatus,Ambloplites,Centrarchidae,,
Ambloplites rupestris,Ambloplites,Centrarchidae,,
Amblyopsis rosae,Amblyopsis,Amblyopsidae,,
Amblyopsis spelaea,Amblyopsis,Amblyopsidae,,
Ameiurus brunneus,Ameiurus,Ictaluridae,,
Ameiurus catus,Ameiurus,Ictaluridae
Ameiurus melas,Ameiurus,Ictaluridae
Ameiurus natalis,Ameiurus,Ictaluridae
Ameiurus nebulosus,Ameiurus,Ictaluridae
Ameiurus platycephalus,Ameiurus,Ictaluridae
Ameiurus serracanthus,Ameiurus,Ictaluridae
Amia calva,Amia,Amiidae
Ammocrypta beanii,Ammocrypta,Percidae
Ammocrypta bifascia,Ammocrypta,Percidae
Ammocrypta clara,Ammocrypta,Percidae
Ammocrypta meridiana,Ammocrypta,Percidae
Ammocrypta pellucida,Ammocrypta,Percidae
Ammocrypta vivax,Ammocrypta,Percidae
Aphredoderus sayanus,Aphredoderus,Aphredoderidae
Aplodinotus grunniens,Aplodinotus,Sciaenidae
Archoplites interruptus,Archoplites,Centrarchidae
Astyanax mexicanus,Astyanax,Characidae
Atractosteus spatula,Atractosteus,Lepisosteidae
Campostoma anomalum,Campostoma,Cyprinidae
Campostoma oligolepis,Campostoma,Cyprinidae
Campostoma ornatum,Campostoma,Cyprinidae
Campostoma pauciradii,Campostoma,Cyprinidae
Carpiodes carpio,Carpiodes,Catostomidae
Carpiodes cyprinus,Carpiodes,Catostomidae
Carpiodes velifer,Carpiodes,Catostomidae
Catostomus ardens,Catostomus,Catostomidae
Catostomus bernardini,Catostomus,Catostomidae
Catostomus catostomus,Catostomus,Catostomidae
Catostomus clarkii,Catostomus,Catostomidae
Catostomus columbianus,Catostomus,Catostomidae
Catostomus commersonii,Catostomus,Catostomidae
Catostomus discobolus,Catostomus,Catostomidae
Catostomus fumeiventris,Catostomus,Catostomidae
Catostomus insignis,Catostomus,Catostomidae
Catostomus latipinnis,Catostomus,Catostomidae
Catostomus macrocheilus,Catostomus,Catostomidae
Catostomus microps,Catostomus,Catostomidae
Catostomus occidentalis,Catostomus,Catostomidae
Catostomus platyrhynchus,Catostomus,Catostomidae
Catostomus plebeius,Catostomus,Catostomidae
Catostomus rimiculus,Catostomus,Catostomidae
Catostomus santaanae,Catostomus,Catostomidae
Catostomus snyderi,Catostomus,Catostomidae
Catostomus tahoensis,Catostomus,Catostomidae
Catostomus utawana,Catostomus,Catostomidae
Catostomus warnerensis,Catostomus,Catostomidae
Centrarchus macropterus,Centrarchus,Centrarchidae
Chasmistes brevirostris,Chasmistes,Catostomidae
Chasmistes cujus,Chasmistes,Catostomidae
Chasmistes liorus,Chasmistes,Catostomidae
Chasmistes muriei,Chasmistes,Catostomidae
Chologaster cornuta,Chologaster,Amblyopsidae
Chrosomus cumberlandensis,Chrosomus,Cyprinidae
Chrosomus erythrogaster,Chrosomus,Cyprinidae
Chrosomus tennesseensis,Chrosomus,Cyprinidae
Clinostomus elongatus,Clinostomus,Cyprinidae
Clinostomus funduloides,Clinostomus,Cyprinidae
Coregonus artedi,Coregonus,Salmonidae
Coregonus clupeaformis,Coregonus,Salmonidae
Coregonus hoyi,Coregonus,Salmonidae
