"level","family","genus","rn","rn.bl","bn","bn.bl","gen.n","sp.n","taxa"
"F","Amarsipidae","","N24235",2.67064511957,"N24235",2.67064511957,1,1,"Amarsipus_carlsbergi"
"F","Amiidae","","N53",251.2,"N53",251.2,1,1,"Amia_calva"
"F","Aulorhynchidae","","N20279",37.396016,"N20279",37.396016,1,1,"Aulorhynchus_flavidus"
"F","Banjosidae","","N17956",22.928307,"N17956",22.928307,1,1,"Banjos_banjos"
"F","Barbourisiidae","","N14116",21.1475351122,"N14116",21.1475351122,1,1,"Barbourisia_rufa"
"F","Bathylutichthyidae","","N21011",0.189677587379,"N21011",0.189677587379,1,1,"Bathylutichthys_taranetzi"
"F","Bathysauroididae","","N12953",4.89575904951,"N12953",4.89575904951,1,1,"Bathysauroides_gigas"
"F","Centrogenyidae","","N17787",0.675599255631,"N17787",0.675599255631,1,1,"Centrogenys_vaigiensis"
"F","Centrophrynidae","","N15818",0.25384653557,"N15818",0.25384653557,1,1,"Centrophryne_spinulosa"
"F","Chanidae","","N1836",126.3,"N1836",126.3,1,1,"Chanos_chanos"
"F","Cheimarrichthyidae","","N17842",52.793885,"N17842",52.793885,1,1,"Cheimarrichthys_fosteri"
"F","Dentatherinidae","","N29862",1.66518822259,"N29862",1.66518822259,1,1,"Dentatherina_merceri"
"F","Denticipitidae","","N1436",153.963533,"N1436",153.963533,1,1,"Denticeps_clupeoides"
"F","Didelphidae","","N9",169.6,"N9",169.6,1,1,"Monodelphis_domestica"
"F","Dinolestidae","","N18031",0.543870268499,"N18031",0.543870268499,1,1,"Dinolestes_lewini"
"F","Eleginopsidae","","N18775",40.810942,"N18775",40.810942,1,1,"Eleginops_maclovinus"
"F","Enoplosidae","","N18270",0.373479087738,"N18270",0.373479087738,1,1,"Enoplosus_armatus"
"F","Eschmeyeridae","","N23869",3.7763536897,"N23869",3.7763536897,1,1,"Eschmeyer_nexus"
"F","Euclichthyidae","","N13479",0.711105091017,"N13479",0.711105091017,1,1,"Euclichthys_polynemus"
"F","Eurypharyngidae","","N218",0.246797174855,"N218",0.246797174855,1,1,"Eurypharynx_pelecanoides"
"F","Gnathanacanthidae","","N19342",0.000448085921032,"N19342",0.000448085921032,1,1,"Gnathanacanthus_goetzeei"
"F","Gymnarchidae","","N1072",61.73618,"N1072",61.73618,1,1,"Gymnarchus_niloticus"
"F","Helostomatidae","","N24830",4.84012578354,"N24830",4.84012578354,1,1,"Helostoma_temminkii"
"F","Hispidoberycidae","","N14077",0.517077545331,"N14077",0.517077545331,1,1,"Hispidoberyx_ambagiosus"
"F","Hominidae","","N10",85.667023,"N10",85.667023,1,1,"Homo_sapiens"
"F","Icosteidae","","N21747",63.198604,"N21747",63.198604,1,1,"Icosteus_aenigmaticus"
"F","Kryptoglanidae","","N11233",6.12491507805,"N11233",6.12491507805,1,1,"Kryptoglanis_shajii"
"F","Lacantuniidae","","N11591",51.754376,"N11591",51.754376,1,1,"Lacantunia_enigmatica"
"F","Lactariidae","","N25248",67.903476,"N25248",67.903476,1,1,"Lactarius_lactarius"
"F","Latimeriidae","","N2",414.341903,"N2",414.341903,1,1,"Latimeria_chalumnae"
"F","Lepidogalaxiidae","","N11913",172.157387,"N11913",172.157387,1,1,"Lepidogalaxias_salamandroides"
"F","Lepidosirenidae","","N5",112.225751,"N5",112.225751,1,1,"Lepidosiren_paradoxa"
"F","Leptobramidae","","N25062",72.779197,"N25062",72.779197,1,1,"Leptobrama_muelleri"
"F","Lophichthyidae","","N15612",19.2065110554,"N15612",19.2065110554,1,1,"Lophichthys_boschmai"
"F","Luvaridae","","N16446",48.3891655013,"N16446",48.3891655013,1,1,"Luvarus_imperialis"
"F","Menidae","","N25063",68.495534,"N25063",68.495534,1,1,"Mene_maculata"
"F","Muridae","","N10",85.667023,"N10",85.667023,1,1,"Mus_musculus"
"F","Nematistiidae","","N25128",9.51105417447,"N25128",9.51105417447,1,1,"Nematistius_pectoralis"
"F","Nematogenyidae","","N8297",97.433135,"N8297",97.433135,1,1,"Nematogenys_inermis"
"F","Neoceratiidae","","N15839",3.31997219434,"N15839",3.31997219434,1,1,"Neoceratias_spinifer"
"F","Neoceratodontidae","","N4",288.942588,"N4",288.942588,1,1,"Neoceratodus_forsteri"
"F","Normanichthyidae","","N19472",0.888183158044,"N19472",0.888183158044,1,1,"Normanichthys_crockeri"
"F","Notocheiridae","","N29668",47.2161618263,"N29668",47.2161618263,1,1,"Notocheirus_hubbsi"
"F","Omosudidae","","N12983",44.500614,"N12983",44.500614,1,1,"Omosudis_lowii"
"F","Pantodontidae","","N1065",0.67004865766,"N1065",0.67004865766,1,1,"Pantodon_buchholzi"
"F","Parascorpididae","","N19470",0.301190302324,"N19470",0.301190302324,1,1,"Parascorpis_typus"
"F","Perryenidae","","N23260",0.384773198631,"N23260",0.384773198631,1,1,"Perryena_leucometopon"
"F","Phractolaemidae","","N1857",0.0296075864075,"N1857",0.0296075864075,1,1,"Phractolaemus_ansorgii"
"F","Pipidae","","N7",351,"N7",351,1,1,"Xenopus_tropicalis"
"F","Pomatomidae","","N21621",0.500900786699,"N21621",0.500900786699,1,1,"Pomatomus_saltatrix"
"F","Protanguillidae","","N789",4.83802193288,"N789",4.83802193288,1,1,"Protanguilla_palau"
"F","Ptilichthyidae","","N20353",2.49133198919,"N20353",2.49133198919,1,1,"Ptilichthys_goodei"
"F","Rachycentridae","","N25078",39.083682,"N25078",39.083682,1,1,"Rachycentron_canadum"
"F","Radiicephalidae","","N13944",55.7073070306,"N13944",55.7073070306,1,1,"Radiicephalus_elongatus"
"F","Rhamphocottidae","","N20734",20.76976,"N20734",20.76976,1,1,"Rhamphocottus_richardsonii"
"F","Scombrolabracidae","","N24462",1.25662495156,"N24462",1.25662495156,1,1,"Scombrolabrax_heterolepis"
"F","Scytalinidae","","N20524",2.67827097868,"N20524",2.67827097868,1,1,"Scytalina_cerdale"
"F","Stylephoridae","","N13324",1.28522252446,"N13324",1.28522252446,1,1,"Stylephorus_chordatus"
"F","Triodontidae","","N15855",2.65541538545,"N15855",2.65541538545,1,1,"Triodon_macropterus"
"F","Xiphiidae","","N25064",39.574461,"N25064",39.574461,1,1,"Xiphias_gladius"
"F","Zanclidae","","N16448",67.390426,"N16448",67.390426,1,1,"Zanclus_cornutus"
"F","Zaproridae","","N20448",2.39321008642,"N20448",2.39321008642,1,1,"Zaprora_silenus"
"F","Abyssocottidae","","N20832",13.496035999997,"N20841",10.847925999993,7,24,""
"F","Acanthuridae","","N16448",67.3904269999971,"N16449",57.676,6,82,""
"F","Acestrorhynchidae","","N7117",70.2828819999971,"N7233",69.2244079999669,7,26,""
"F","Achiridae","","N25761",62.4898299999971,"N25771",36.262597,7,35,""
"F","Achiropsettidae","","N25494",3.46177382129707,"N25496",2.2195,4,4,""
"F","Acipenseridae","","N26",120.799999999997,"N28",15.941346,4,25,""
"F","Acropomatidae","","N14751",120.167470999997,"N14833",116.082293000012,7,30,""
"F","Adrianichthyidae","","N29980",94.1304859999971,"N29981",76.801152,2,36,""
"F","Agonidae","","N14751",120.167470999997,"N14833",116.082292000007,22,47,""
"F","Akysidae","","N10509",51.4229089999972,"N10528",43.794167999964,5,57,""
"F","Albulidae","","N71",128.347636999997,"N72",117.174511,2,11,""
"F","Alepisauridae","","N12983",44.500613999997,"N12984",20.65529600001,1,2,""
"F","Alepocephalidae","","N1296",38.8176739999971,"N1338",31.5333490000142,19,98,""
"F","Alestidae","","N6433",88.4016329999971,"N6466",85.493817000011,18,120,""
"F","Ambassidae","","N26055",103.427961999997,"N26056",66.519009,8,49,""
"F","Amblycipitidae","","N9711",74.2953929999971,"N9753",73.6411059999977,4,34,""
"F","Amblyopsidae","","N13279",49.0211449999971,"N13281",20.946972,5,7,""
"F","Ammodytidae","","N17863",16.2862055384971,"N17864",11.85714,7,28,""
"F","Amphiliidae","","N9711",74.2953929999971,"N9753",73.641107000009,13,92,""
"F","Anabantidae","","N24829",68.3549319999971,"N24835",59.66141800003,4,33,""
"F","Anablepidae","","N30509",71.1151009999971,"N30523",66.642026,3,17,""
